usdid,fwdir,latitude,longitude,abs_pm
378,101N,37.12280899999999,-121.628191,364.64461333175404
379,101N,37.12366,-121.6287,364.70975597886354
380,101N,37.123691,-121.62871700000001,364.7120936722016
381,101N,37.123784,-121.62877100000001,364.71917458246224
382,101N,37.123815,-121.628789,364.72153488554113
383,101N,37.12383899999999,-121.62880300000002,364.72336371290646
384,101N,37.12391399999999,-121.62884500000001,364.72903881318507
385,101N,37.123939,-121.62886000000002,364.73095363479615
386,101N,37.12458099999999,-121.62922800000001,364.7797247843242
387,101N,37.12494999999999,-121.62944,364.8077679071335
388,101N,37.12545999999999,-121.62975,364.84692574519573
389,101N,37.12628999999999,-121.63022,364.90984724727815
390,101N,37.12650099999999,-121.630349,364.92606573772736
391,101N,37.127133,-121.630737,364.9746832527106
392,101N,37.127167,-121.630758,364.977301822873
393,101N,37.12727199999999,-121.63082200000001,364.9853679342923
394,101N,37.127307,-121.630844,364.9880728915828
395,101N,37.127341,-121.63086500000001,364.9906914605709
396,101N,37.127445,-121.63092800000001,364.99867136981436
397,101N,37.12747999999999,-121.63095000000001,365.0013763258621
398,101N,37.12830999999999,-121.63144,365.0647588505332
399,101N,37.12937999999999,-121.63206,365.1461965823073
400,101N,37.13033,-121.63262000000002,365.21872273214206
401,101N,37.13082899999999,-121.632926,365.2571002346786
402,101N,37.131289999999986,-121.63321,365.2925867327996
403,101N,37.13154999999999,-121.63336,365.3123601362713
404,101N,37.131609999999995,-121.63339,365.31682297068465
405,101N,37.13165999999999,-121.63343,365.32092048677765
406,101N,37.131696999999996,-121.63345100000001,365.3237264781468
407,101N,37.13181,-121.633514,365.33227053841017
408,101N,37.13184799999999,-121.633536,365.33516226783865
409,101N,37.132236999999996,-121.633755,365.3646227006485
410,101N,37.13229499999999,-121.633788,365.3690231190202
411,101N,37.13257999999999,-121.63395000000001,365.39064232659075
412,101N,37.133618999999996,-121.634575,365.4702585872033
413,101N,37.13405999999999,-121.63484000000001,365.5040447299313
414,101N,37.134591,-121.635154,365.5446058083343
415,101N,37.13481999999999,-121.63529000000001,365.5621119714328
416,101N,37.135519999999985,-121.63576,365.6169701936814
417,101N,37.135999999999996,-121.6361,365.65505737472375
418,101N,37.136122,-121.636193,365.6649212150016
419,101N,37.13661299999999,-121.63656800000001,365.7046394991668
420,101N,37.1368,-121.63671,365.71974294221883
421,101N,37.13689699999999,-121.636791,365.72779421342653
422,101N,37.13741999999999,-121.63723,365.77127397168346
423,101N,37.137715,-121.637507,365.79673436737335
424,101N,37.13790999999999,-121.63769,365.8135607448361
425,101N,37.137979,-121.63775600000001,365.81955605903323
426,101N,37.138199,-121.637967,365.8386904332844
427,101N,37.13859999999999,-121.63835,365.87351382127133
428,101N,37.138857,-121.63860400000002,365.89611993286627
429,101N,37.13907499999999,-121.638819,365.9152800139856
430,101N,37.13930599999999,-121.639047,365.9355887373219
431,101N,37.13938999999999,-121.63913,365.9429768190254
432,101N,37.14001499999999,-121.639721,365.99705459412337
433,101N,37.140119999999996,-121.63982000000001,366.00613010497307
434,101N,37.14025099999999,-121.639947,366.01756925900844
435,101N,37.140408,-121.640099,366.0312718309963
436,101N,37.140881,-121.640558,366.0725898584868
437,101N,37.14103899999999,-121.64071200000001,366.0864144609869
438,101N,37.141061,-121.640733,366.08832453054646
439,101N,37.14112699999999,-121.640798,366.0941221050753
440,101N,37.141149999999996,-121.64082000000002,366.0961205121206
441,101N,37.141166999999996,-121.64083700000002,366.0976226281525
442,101N,37.14119,-121.64086000000002,366.0996549025768
443,101N,37.141218999999985,-121.64088800000002,366.1021833701353
444,101N,37.14123699999999,-121.640905,366.1037401093635
445,101N,37.14141,-121.64107,366.11875563509
446,101N,37.14209199999999,-121.641744,366.1787431500606
447,101N,37.14222999999999,-121.64188,366.1908683786322
448,101N,37.14467899999999,-121.644242,366.4043050542791
449,101N,37.14554199999999,-121.645075,366.47953920862324
450,101N,37.14589999999999,-121.64542000000002,366.51073001723233
451,101N,37.14627399999999,-121.645789,366.5436047969767
452,101N,37.14674,-121.64625000000001,366.58460824234385
453,101N,37.14766999999999,-121.64714000000001,366.6654255344423
454,101N,37.148476999999986,-121.647926,366.73601426279566
455,101N,37.14920999999999,-121.64864,366.8001324364553
456,101N,37.14965,-121.64906,366.8383322757657
457,101N,37.149886999999985,-121.64929300000001,366.8591360249633
458,101N,37.15021999999999,-121.64962,366.88835367289863
459,101N,37.15193,-121.651244,367.03653554520537
460,101N,37.15202,-121.65133,367.04435208460524
461,101N,37.152609999999996,-121.65189600000001,367.09566799819515
462,101N,37.152689999999986,-121.65197200000001,367.10260120838944
463,101N,37.15292999999999,-121.65220300000001,367.12350096656246
464,101N,37.15301,-121.65228,367.1304675471584
465,101N,37.153033,-121.65230300000002,367.1324996979466
466,101N,37.153059999999996,-121.65233,367.1348852659566
467,101N,37.15310499999999,-121.65236800000001,367.13863309238826
468,101N,37.15312999999999,-121.65239000000001,367.1407429404563
469,101N,37.15350999999999,-121.65275000000001,367.17364236933616
470,101N,37.15368,-121.65291,367.1883256581303
471,101N,37.153736999999985,-121.652968,367.1933963457467
472,101N,37.15408999999999,-121.65333,367.22489658747674
473,101N,37.155499999999996,-121.65472,367.34879168571035
474,101N,37.15563999999999,-121.65485000000001,367.36082563093817
475,101N,37.15597199999999,-121.65517,367.3897516278813
476,101N,37.156064,-121.655259,367.39777818245824
477,101N,37.156342999999985,-121.655528,367.42208925711117
478,101N,37.15643699999999,-121.655618,367.4302589582596
479,101N,37.157066,-121.65617900000001,367.48357947303685
480,101N,37.15733699999999,-121.656447,367.5074203858102
481,101N,37.15782,-121.656926,367.54995762230175
482,101N,37.15881699999999,-121.658086,367.64390119328334
483,101N,37.159705999999986,-121.65921000000002,367.7310998001367
484,101N,37.161570999999995,-121.66173,367.92046467849235
485,101N,37.16218299999999,-121.66256200000001,367.98280875736236
486,101N,37.16259099999999,-121.66301100000001,368.0203041707722
487,101N,37.16311499999999,-121.66358699999999,368.0684360757103
488,101N,37.16385499999999,-121.664313,368.13333718497455
489,101N,37.164901,-121.66522300000001,368.22127884785425
490,101N,37.16572,-121.665935,368.2901192495096
491,101N,37.167169,-121.667157,368.4107434510065
492,101N,37.167432999999996,-121.66738000000001,368.43273145972194
493,101N,37.167664999999985,-121.667576,368.45205516719165
494,101N,37.16825999999999,-121.668078,368.5015930633496
495,101N,37.16854099999999,-121.668331,368.52548838198703
496,101N,37.168898999999996,-121.668653,368.5559209797955
497,101N,37.168935999999995,-121.668686,368.5590573112289
498,101N,37.169129,-121.66886,368.57547677920456
